"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PGTM","PRCP","TAVG","TMAX","TMIN","WDF2","WSF2","WT01","WT02","WT03","WT04","WT05","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT16","WT18","WT21"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","2001-01-01","2.5"," 1056","0.0","12.8","19.4","5.6","  310","5.8",,,,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","2001-01-02","3.9"," 1520","0.0","17.2","22.2","11.7","   40","7.2",,,,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","2001-01-03","2.6"," 0003","0.0","15.0","20.6","8.9","  340","5.4",,,,,,,,,,,,,"    1",,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","2001-01-04","3.6"," 1207","2.3","12.2","16.1","8.3","  310","9.4",,,,,,,,,,,,,"    1",,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","2001-01-05","2.6"," 1222","0.0","11.1","17.8","3.9","  280","5.4",,,,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","2001-01-06","2.4"," 1425","0.0","16.7","22.8","10.0","  310","4.5",,,,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","2001-01-07","1.8"," 1704","0.0","16.1","23.3","8.9","  140","5.4",,,,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","2001-01-08","2.2"," 1503","0.0","18.9","26.7","10.6","  240","7.2",,,,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","2001-01-09","4.1"," 0906","0.0","13.9","19.4","8.3","  340","7.6","    1",,,,,,,,,,"    1","    1","    1",,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","2001-01-10","3.8"," 1318","0.0","13.3","20.6","6.1","   60","7.6",,,,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","2001-01-11","2.2"," 1344","0.0","18.3","22.2","13.9","  120","6.7",,,,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","2001-01-12","2.4"," 1030","0.0","19.4","25.6","13.3","  250","6.3",,,,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","2001-01-13","3.6"," 0702","0.0","17.2","22.8","11.7","  340","6.3","    1",,,,,,,,,,"    1",,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","2001-01-14","2.6"," 1606","0.0","18.9","25.0","12.8","   70","6.3","    1","    1",,,,,,,,,"    1",,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","2001-01-15","2.0"," 1338","0.0","19.4","25.6","16.7","   90","7.6",,,,,,,,,,,,,"    1",,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","2001-01-16","2.3"," 1552","0.3","21.7","26.1","17.2","   90","6.7",,,,,,,,,,,,,"    1",,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","2001-01-17","2.5"," 0923","0.0","22.2","26.7","17.8","  120","6.3",,,,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","2001-01-18","3.1"," 1452","0.0","23.9","27.2","20.6","  160","7.2",,,,,,,,,,,,,"    1",,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","2001-01-19","4.9"," 1352","0.0","24.4","27.8","20.6","  160","9.8",,,,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","2001-01-20","4.6"," 1155","12.4","20.6","28.3","12.2","  250","9.4","    1",,,,,,,,,,"    1",,"    1",,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","2001-01-21","4.2"," 0214","0.0","13.3","18.9","7.2","  320","7.6",,,,,,,,,,,,,"    1",,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","2001-01-22","4.4"," 2328","0.3","11.7","13.9","8.9","  310","7.2","    1",,,,,,,,,,"    1","    1","    1",,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","2001-01-23","5.3"," 1202","0.0","11.7","17.8","5.6","  300","9.8","    1",,,,,,,,,,"    1",,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","2001-01-24","3.2"," 0020","0.0","15.0","21.1","8.9","  280","5.8",,,,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","2001-01-25","3.3"," 1242","0.0","14.4","20.0","8.9","  310","8.0",,,,,,,"    1",,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","2001-01-26","2.8"," 1331","0.0","15.0","20.6","8.9","   80","7.2",,,,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","2001-01-27","2.4"," 1734","0.0","17.8","22.2","12.8","  100","5.8",,,,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","2001-01-28","3.3"," 1235","0.0","18.3","23.3","13.3","  100","8.0",,,,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","2001-01-29","5.6"," 1520","0.0","21.7","25.0","18.3","  120","9.8",,,,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","2001-01-30","4.6"," 1440","0.0","23.9","27.2","20.6","  170","8.9",,,,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","2001-01-31","2.5"," 1707","0.0","22.8","28.3","17.2","  140","6.3",,,,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","2001-02-01","3.0"," 1715","0.0","22.8","27.2","18.3","  110","6.7","    1",,,,,,,,,,"    1",,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","2001-02-02","3.1"," 1144","0.0","23.3","27.2","18.9","  170","6.7","    1",,,,,,,,,,"    1",,"    1",,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","2001-02-03","3.0"," 1723","0.0","22.8","27.2","17.8","   90","5.8","    1",,,,,,"    1",,,,"    1",,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","2001-02-04","2.4"," 1257","1.0","23.3","27.8","18.9","  140","7.6","    1",,,,,,,,,,"    1",,"    1",,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","2001-02-05","3.0"," 0954","0.0","19.4","22.2","16.1","  340","7.2","    1",,,,,,,,,,"    1",,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","2001-02-06","2.9"," 1323","0.0","18.9","23.9","13.9","   80","6.7",,,,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","2001-02-07","4.3"," 1742","0.0","20.6","25.6","15.0","   70","7.2",,,,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","2001-02-08","5.7"," 1517","0.0","23.3","26.1","20.6","   90","8.9",,,,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","2001-02-09","6.0"," 0932","0.0","23.9","26.7","20.6","   90","9.8",,,,,,,,,,,,,"    1",,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","2001-02-10","4.7"," 0931","0.0","25.6","28.3","22.2","  110","7.2",,,,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","2001-02-11","4.2"," 1417","0.0","24.4","27.8","20.6","  100","7.2",,,,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","2001-02-12","5.6"," 1108","0.0","24.4","27.2","21.1","  100","8.9",,,,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","2001-02-13","5.7"," 1409","0.0","25.0","27.2","22.2","  100","8.0",,,,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","2001-02-14","4.7"," 1451","0.0","25.0","27.8","21.7","  140","7.6",,,,,,,,,,,,,"    1",,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","2001-02-15","4.2"," 1323","0.0","25.0","28.3","21.1","  120","7.2",,,,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","2001-02-16","3.8"," 1417","0.0","24.4","27.2","21.7","  110","8.0",,,,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","2001-02-17","3.3"," 1217","0.0","25.6","30.6","20.6","  290","7.2","    1",,,,,,,,,,"    1",,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","2001-02-18","5.0"," 2149","0.0","22.8","25.6","19.4","   60","10.3",,,,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","2001-02-19","7.2"," 0919","0.3","23.3","25.6","20.6","   90","11.6",,,,,,,,,,,,,"    1",,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","2001-02-20","5.3"," 1715","0.0","22.8","26.1","18.9","  100","8.9",,,,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","2001-02-21","3.8"," 1620","0.0","22.8","26.1","18.9","   80","6.7",,,,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","2001-02-22","2.4"," 1412","0.0","22.8","27.2","17.8","  140","6.3",,,,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","2001-02-23","3.5"," 2326","0.0","23.3","28.9","17.8","  100","7.2",,,,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","2001-02-24","6.7"," 1110","0.0","25.0","27.8","22.2","  110","9.8",,,,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","2001-02-25","5.5"," 1019","0.0","25.6","28.3","22.8","  110","9.4",,,,,,,,,,,,,"    1",,
